"","Site.ID","Locality","Region","Coast","Ecosystem","Genus","Status","Tidal.R","Sampling.year","lat","long","Water.Depth","Mean_Stock","SD_Stock","Mean_Seq_rate","SD_Seq_rate","Mean_Biomass","SD_Biomass"
"1","Ca¤uelos_sep","Cala de Ca¤uelos","Andalucia","Mediterranean Sea","Seagrass","Zostera marina","Healthy","Subtidal",2004,36.743831,-3.791281,NA,NA,NA,NA,NA,0.0327255151453178,NA
"2","Esteiro das Lez¡rias7Smon","Esteiro das Lez¡rias","S Portugal","Atlantic Ocean","Salt Marsh","Sporobolus montevidensis","","Low",NA,37.215229,-7.420435,NA,NA,NA,NA,NA,1.82413454847816,NA
"3","Ros rio salt marshes6Sm","Ros rio","S Portugal","Atlantic Ocean","Salt Marsh","Sporobolus maritimus","","Low",NA,38.693494,-8.984737,NA,NA,NA,NA,NA,0.100871917941211,NA
"4","Ros rio salt marshes6Ap","Ros rio","S Portugal","Atlantic Ocean","Salt Marsh","Atriplex portulacoides","","Medium",NA,38.693494,-8.984737,NA,NA,NA,NA,NA,0.0962162909593088,NA
"5","Ros rio salt marshes2Sp","Ros rio","S Portugal","Atlantic Ocean","Salt Marsh","Salicornia perennis","","Low",NA,38.693494,-8.984737,NA,NA,NA,NA,NA,0.0473322076493374,NA
"6","Ros rio4Ap","Ros rio","S Portugal","Atlantic Ocean","Salt Marsh","Atriplex portulacoides","","Medium",NA,38.693494,-8.984737,NA,NA,NA,NA,NA,0.62499551672753,NA
"7","Ros rio salt marshes12Sp","Ros rio","S Portugal","Atlantic Ocean","Salt Marsh","Salicornia perennis","","Low",NA,38.693494,-8.984737,NA,NA,NA,NA,NA,0.0803095654378102,NA
"8","Ros rio6Ap","Ros rio","S Portugal","Atlantic Ocean","Salt Marsh","Atriplex portulacoides","","Medium",NA,38.693494,-8.984737,NA,NA,NA,NA,NA,0.825465776751383,NA
"9","Ca¤ielos_dic","Cala de Ca¤uelos","Andalucia","Mediterranean Sea","Seagrass","Zostera marina","Healthy","Subtidal",2004,36.743831,-3.791281,NA,NA,NA,NA,NA,0.00751899144476667,NA
"10","Ca¤uelos_jun","Cala de Ca¤uelos","Andalucia","Mediterranean Sea","Seagrass","Zostera marina","Healthy","Subtidal",2004,36.743831,-3.791281,NA,NA,NA,NA,NA,0.0350886267422444,NA
"11","Ros rio salt marshes2Ap","Ros rio","S Portugal","Atlantic Ocean","Salt Marsh","Atriplex portulacoides","","Medium",NA,38.693494,-8.984737,NA,NA,NA,NA,NA,0.0950523842138333,NA
"12","Ros rio salt marshes3Ap","Ros rio","S Portugal","Atlantic Ocean","Salt Marsh","Atriplex portulacoides","","Medium",NA,38.693494,-8.984737,NA,NA,NA,NA,NA,0.624629953405191,NA
"13","Ros rio salt marshes4Sm","Ros rio","S Portugal","Atlantic Ocean","Salt Marsh","Sporobolus maritimus","","Low",NA,38.693494,-8.984737,NA,NA,NA,NA,NA,0.145488343184439,NA
"14","Ros rio salt marshes10Sp","Ros rio","S Portugal","Atlantic Ocean","Salt Marsh","Salicornia perennis","","Low",NA,38.693494,-8.984737,NA,NA,NA,NA,NA,0.229677597773834,NA
"15","camari¤as","camari¤as","Galiza","Atlantic Ocean","Seagrass","Zostera noltii","Healthy","Intertidal",2015,43.14646,-9.16552,NA,NA,NA,NA,NA,0.0304602706556643,0.00401544544379339
"16","Ros rio salt marshes12Sf","Ros rio","S Portugal","Atlantic Ocean","Salt Marsh","Salicornia fruticosa","","Medium",NA,38.693494,-8.984737,NA,NA,NA,NA,NA,0.517550532821444,NA
"17","Ros rio salt marshes2Sm","Ros rio","S Portugal","Atlantic Ocean","Salt Marsh","Sporobolus maritimus","","Low",NA,38.693494,-8.984737,NA,NA,NA,NA,NA,0.190104768427667,NA
"18","Ca¤uelos_mar5","Cala de Ca¤uelos","Andalucia","Mediterranean Sea","Seagrass","Zostera marina","Healthy","Subtidal",2005,36.743831,-3.791281,NA,NA,NA,NA,NA,0.00358047211655556,NA
"19","Ros rio salt marshes4Sp","Ros rio","S Portugal","Atlantic Ocean","Salt Marsh","Salicornia perennis","","Low",NA,38.693494,-8.984737,NA,NA,NA,NA,NA,0.0333653267036313,NA
"20","ADRA","Venta Nueva","Andalucia","Mediterranean Sea","Salt Marsh","Phragmites australis","","Microtidal",2016,36.751653,-2.950664,NA,NA,NA,NA,NA,6.77127404616,NA
"21","Ros rio salt marshes6Sf","Ros rio","S Portugal","Atlantic Ocean","Salt Marsh","Salicornia fruticosa","","Medium",NA,38.693494,-8.984737,NA,NA,NA,NA,NA,0.0744900317104327,NA
"22","Ros rio6Sm","Ros rio","S Portugal","Atlantic Ocean","Salt Marsh","Sporobolus maritimus","","Low",NA,38.693494,-8.984737,NA,NA,NA,NA,NA,0.448109993359644,NA
"23","Ca¤uelos_mar","Cala de Ca¤uelos","Andalucia","Mediterranean Sea","Seagrass","Zostera marina","Healthy","Subtidal",2004,36.743831,-3.791281,NA,NA,NA,NA,NA,0.0221989271226444,NA
"24","Ros rio salt marshes3Sm","Ros rio","S Portugal","Atlantic Ocean","Salt Marsh","Sporobolus maritimus","","Low",NA,38.693494,-8.984737,NA,NA,NA,NA,NA,0.232781349095102,NA
"25","AG.D","Aguamarga","Andalucia","Mediterranean Sea","Seagrass","Posidonia oceanica","Healthy","Subtidal",2017,36.933167,-1.9316,18,17.5636762288797,2.91103134222935,0.00651995092904823,NA,0.775458048736558,0.221354755486187
"26","AG.I","Aguamarga","Andalucia","Mediterranean Sea","Seagrass","Posidonia oceanica","Healthy","Subtidal",2017,36.936167,-1.932033,10.8,10.1629855887686,4.55127941765211,0.0285624644740222,NA,3.20994894212585,1.70209438244095
"27","AG.S","Aguamarga","Andalucia","Mediterranean Sea","Seagrass","Posidonia oceanica","Healthy","Subtidal",2017,36.937683,-1.93345,4.8,25.0869452081006,8.23492736328974,0.037045329052267,NA,NA,NA
"28","Ros rio1Ap","Ros rio","S Portugal","Atlantic Ocean","Salt Marsh","Atriplex portulacoides","","Medium",NA,38.693494,-8.984737,NA,NA,NA,NA,NA,0.636787885055514,NA
"29","Ros rio11Sm","Ros rio","S Portugal","Atlantic Ocean","Salt Marsh","Sporobolus maritimus","","Low",NA,38.693494,-8.984737,NA,NA,NA,NA,NA,0.330186310855741,NA
"30","Ros rio11Ap","Ros rio","S Portugal","Atlantic Ocean","Salt Marsh","Atriplex portulacoides","","Medium",NA,38.693494,-8.984737,NA,NA,NA,NA,NA,0.943389459255286,NA
"31","Ros rio salt marshes6Sp","Ros rio","S Portugal","Atlantic Ocean","Salt Marsh","Salicornia perennis","","Low",NA,38.693494,-8.984737,NA,NA,NA,NA,NA,0.0566434616131415,NA
"32","Ros rio salt marshes4Ap","Ros rio","S Portugal","Atlantic Ocean","Salt Marsh","Atriplex portulacoides","","Medium",NA,38.693494,-8.984737,NA,NA,NA,NA,NA,0.0876809748258218,NA
"33","Ros rio salt marshes12Sm","Ros rio","S Portugal","Atlantic Ocean","Salt Marsh","Sporobolus maritimus","","Low",NA,38.693494,-8.984737,NA,NA,NA,NA,NA,0.0810855032681272,NA
"34","Ros rio1Sm","Ros rio","S Portugal","Atlantic Ocean","Salt Marsh","Sporobolus maritimus","","Low",NA,38.693494,-8.984737,NA,NA,NA,NA,NA,0.212262628351838,NA
"35","Ros rio salt marshes2Sf","Ros rio","S Portugal","Atlantic Ocean","Salt Marsh","Salicornia fruticosa","","Medium",NA,38.693494,-8.984737,NA,NA,NA,NA,NA,0.101647855771528,NA
"36","Ros rio salt marshes10Sm","Ros rio","S Portugal","Atlantic Ocean","Salt Marsh","Sporobolus maritimus","","Low",NA,38.693494,-8.984737,NA,NA,NA,NA,NA,0.158291317384669,NA
"37","Ros rio salt marshes10Sf","Ros rio","S Portugal","Atlantic Ocean","Salt Marsh","Salicornia fruticosa","","Medium",NA,38.693494,-8.984737,NA,NA,NA,NA,NA,2.10861105388647,NA
