"","ID","R2","P","f","int","slope"
"Salt Marsh","Salt Marsh",0.786168014196132,3.70279147201616e-101,1088.26437414044,-0.403302016878752,0.34718795410721
"Seagrass","Seagrass",0.704816378124592,1.722472870421e-263,2354.29372542957,0.0666299218713773,0.388327134295291
"Cymodocea nodosa","Cymodocea nodosa",0.659276116432499,5.65343776826357e-19,143.184657633018,0.106017300928902,0.118108819569588
"Halimione","Halimione",NA,NA,NA,NA,NA
"Juncus","Juncus",NA,NA,NA,NA,NA
"Juncus acutus","Juncus acutus",NA,NA,NA,NA,NA
"Mixed Salt Marsh","Mixed Salt Marsh",0.811352106649969,4.51282432074391e-31,348.371346594933,-0.690159876589923,0.378776775731748
"Posidonia oceanica","Posidonia oceanica",0.674822958990751,1.0455874361949e-160,1348.91111002979,0.24719930334231,0.376138841669426
"Salicornia","Salicornia",NA,NA,NA,NA,NA
"Sarcocornia","Sarcocornia",0.767473596562159,1.56598530248727e-15,145.225822743017,-0.0314678057531046,0.266538159426275
"Scirpus","Scirpus",NA,NA,NA,NA,NA
"Spartina maritima","Spartina maritima",0.861737242069073,8.8234431058441e-48,666.888801302915,-0.0388659098155097,0.29418218179877
"Unvegetated","Unvegetated",0.655488935151495,1.04383789793887e-07,51.3719385380929,0.315186732367803,0.177822172730337
"Unvegetated Salt Marsh","Unvegetated Salt Marsh",0.596770464368802,0.0001059863023543,25.159610092522,-0.327354103548385,0.243823541412434
"Zostera marina","Zostera marina",0.556936058341503,7.66882912762462e-19,121.930025397475,-0.0201834110631926,0.290555188385853
"Zostera noltii","Zostera noltii",0.546370447125636,4.33870119510366e-29,191.506264401244,0.00843848270126947,0.35078553794555
"AG.D","AG.D",0.792936280734699,6.38209455259593e-08,72.7591940655531,-0.367697104963643,0.684636624489225
"AG.I","AG.I",0.798557960912412,3.10740968219988e-06,55.4988993529436,-0.449000365694873,0.635489429293278
"AG.S","AG.S",0.973976604685259,4.57852500842232e-10,411.6965723327,-0.29919592751214,0.785505525483562
"AL.S","AL.S",0.991650948478413,1.8244244367601e-07,712.64450524551,0.126907751650345,0.424146186459007
"Arinaga","Arinaga",NA,NA,NA,NA,NA
"Av22_Sc","Av22_Sc",NA,NA,NA,NA,NA
"Av22_Sp","Av22_Sp",NA,NA,NA,NA,NA
"Av22_Zn","Av22_Zn",NA,NA,NA,NA,NA
"Av22_Zn_I","Av22_Zn_I",NA,NA,NA,NA,NA
"Av22_Zn_M","Av22_Zn_M",NA,NA,NA,NA,NA
"BA.S","BA.S",0.591536477083421,6.84114514308694e-07,40.54957279923,-0.0076080866091718,0.204091241200948
"BA.SC","BA.SC",NA,NA,NA,NA,NA
"BS1A","BS1A",NA,NA,NA,NA,NA
"BS1B","BS1B",NA,NA,NA,NA,NA
"BS2A","BS2A",NA,NA,NA,NA,NA
"BS2B","BS2B",NA,NA,NA,NA,NA
"BS2C","BS2C",NA,NA,NA,NA,NA
"BS3A","BS3A",NA,NA,NA,NA,NA
"BS3C","BS3C",NA,NA,NA,NA,NA
"BS4_EXP","BS4_EXP",NA,NA,NA,NA,NA
"BS4EXP","BS4EXP",NA,NA,NA,NA,NA
"CA.S","CA.S",0.946812810907054,4.88184487021723e-07,160.213680088869,-0.658196981409843,0.660367621280819
"CA.SC","CA.SC",0.863311432897219,3.54335219518414e-05,56.8431073700012,-0.697156926292348,0.740842666886645
"Cala DOr","Cala DOr",NA,NA,NA,NA,NA
"Cala Dor_s","Cala Dor_s",0.56931650748296,0.0305036778210847,7.93134425685613,-0.50167910960439,0.255227733453716
"Castell","Castell",0.949163069886063,8.79699256466031e-06,130.695175226187,-0.578275386304197,0.392674283019704
"Castillo del Romeral","Castillo del Romeral",NA,NA,NA,NA,NA
