"","Category","Area","nS.Biomass","SA.Biomass","Av.Biomass","M.Biomass","MAD.Biomass","cv.Biomass","nS.Stock","SA.Stock","Av.Stock","M.Stock","MAD.Stock","cv.Stock","nS.SeqRate","SA.SeqRate","Av.SeqRate","M.SeqRate","MAD.SeqRate","cv.SeqRate"
"1","Salt Marsh",346.458061,337,0.972700704458425,0.630608672166736,0.234471120839333,0.217631070479632,2.73867862978372,39,0.112567737311212,57.0495665949914,16.5373022022749,11.5442988080808,1.72101025660636,20,0.0577270447749807,0.030470794371629,0.0243208543893991,0.019867172632487,0.741771372361166
"2","Seagrass",1629.674,273,0.167518166209929,0.249036163464684,0.0741152577624662,0.0698313402864774,5.31979291545901,94,0.0576802477059829,22.8716292269138,11.5280212225971,9.35176020305728,3.16573823104463,36,0.0220903076320786,0.0274558634955616,0.021240993214553,0.0204333341998357,0.891635832648754
"3","Cymodocea nodosa",364.106,61,0.167533630316446,0.135530737577753,0.0423771428571429,0.043918848,2.03233333145693,18,0.0494361532081317,4.20313528194116,3.75619740816024,2.08103647791813,0.505580548470457,3,0.00823935886802195,0.00757188793739765,0.00788073881663167,0.00658235004725717,0.648490958633523
"4","Mixed Seagrass",40.6,6,0.147783251231527,0.0373638479745196,0.0339892105902255,0.0160670177944016,0.387256629409646,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA
"5","Posidonia oceanica",1158.87,108,0.0931942323125113,0.506763166830976,0.136565395927805,0.0587157742392248,4.0935350678554,46,0.0396938396886622,16.8321089460635,15.8818726063095,5.86366154978196,0.404241013118044,25,0.0215727389612295,0.027976643852635,0.0226140765391272,0.0192676817903667,0.663846512014257
"6","Zostera marina",14.14,18,1.27298444130127,0.0464557762833626,0.0384562596829825,0.0176740493912842,0.797838009027515,6,0.424328147100424,2.2099592087433,1.88783398540895,0.152076616756837,0.278521991638724,0,0,NA,NA,NA,NA
"7","Zostera noltii",51.958,80,1.53970514646445,0.049108606936534,0.0353689818470493,0.038028163311693,1.02603622347081,24,0.461911543939336,53.6141643951491,12.9307394370936,9.66961911686305,2.61530732787535,8,0.153970514646445,0.0332849157140187,0.0190337783012627,0.0253110928940368,1.20090659914349
"8","High",32.655666,8,0.244980457602671,5.64392598788563,1.62020288020069,2.05258078471435,1.283029106549,14,0.428715800804675,31.9690354939722,19.0214171682249,13.1437083656156,1.29074630603141,10,0.306225572003339,0.0347133222094872,0.0335241442149197,0.0272513951979902,0.734701805403378
"9","Low",77.178041,155,2.00834327992337,0.388493105187547,0.192400910852167,0.111510852685303,2.67730255447525,16,0.207312854701767,86.0944855252834,14.2093451870359,12.331098083585,1.55512866147148,7,0.090699373932023,0.0267278199452166,0.0170612807949374,0.0168554357050468,0.896345212963662
"10","Medium",142.524354,143,1.00333729630516,0.504688781543805,0.2717195876928,0.272855647436582,2.39959675070527,6,0.0420980683764404,59.7807260081563,16.9190140833787,16.6503822450486,1.62499097587821,3,0.0210490341882202,0.0250626419070641,0.0254981204359479,0.00587351322146456,0.184746393746861
"11","Microtidal",94.1,31,0.329436769394261,1.1282834694281,0.96337144317229,0.531667984840296,1.02531093009803,3,0.0318809776833156,13.7234919451931,10.3067156338744,3.31613690472103,0.578153482966338,0,0,NA,NA,NA,NA
