"","Category","Area","nS.Biomass","SA.Biomass","nS.Stock","SA.Stock","nS.Flux","SA.Flux","Mean_Biomass","Mean_Stock","Mean_Flux"
"1","Salt Marsh",309.978061,337,1.08717371452943,39,0.125815355687382,20,0.0645206952242985,273.867862978372,139.70487048205,72.1222912398997
"2","Seagrass",1629.674,273,0.167518166209929,93,0.0570666280495363,36,0.0220903076320786,531.979291545901,202.091972729411,89.8390137520859
"3","Cymodocea nodosa",364.106,61,0.167533630316446,18,0.0494361532081317,3,0.00823935886802195,203.233333145693,50.4790056183021,64.8490958633523
"4","Mixed Seagrass",40.6,6,0.147783251231527,0,0,0,0,38.7256629409646,NA,NA
"5","Posidonia oceanica",1158.87,108,0.0931942323125113,46,0.0396938396886622,25,0.0215727389612295,409.35350678554,40.4274356751418,66.2651244468722
"6","Zostera marina",14.14,18,1.27298444130127,6,0.424328147100424,0,0,79.7838009027515,27.8521991638724,NA
"7","Zostera noltii",51.958,80,1.53970514646445,23,0.44266522960853,8,0.153970514646445,102.603622347081,209.894336421591,120.090659914349
"8","High",32.655666,8,0.244980457602671,14,0.428715800804675,10,0.306225572003339,128.3029106549,129.074630603141,70.4792485765418
"9","Low",77.178041,155,2.00834327992337,16,0.207312854701767,7,0.090699373932023,267.730255447525,121.681961226317,89.6345212963662
"10","Medium",142.524354,143,1.00333729630516,6,0.0420980683764404,3,0.0210490341882202,239.959675070527,162.590015923424,19.5261833466683
"11","Microtidal",57.62,31,0.538007636237418,3,0.0520652551197501,0,0,102.531093009803,58.0800810016089,NA
