Site ID;Sample ID;Ecosystem;Specie;;Above;Ab SD;Below;B SD;n;
AG.I;AG.I-A;Seagrass;Posidonia oceanica;;14.43;;58.005;;;
AG.I;AG.I-B;Seagrass;Posidonia oceanica;;5.425;;9.505;;;
AG.I;AG.I-C;Seagrass;Posidonia oceanica;;8.255;;21.78;;;
AG.I;AG.I-D;Seagrass;Posidonia oceanica;;4.895;;10.31;;;
AG.D;AG.D-A;Seagrass;Posidonia oceanica;;1.595;;3.025;;;
AG.D;AG.D-B;Seagrass;Posidonia oceanica;;2.645;;14.92;;;
AG.D;AG.D-C;Seagrass;Posidonia oceanica;;1.74;;18.9;;;
AL.S;AL.S-A;Seagrass;Posidonia oceanica;;9.77;;47.38;;;
AL.S;AL.S-B;Seagrass;Posidonia oceanica;;6.42;;13.865;;;
AL.S;AL.S-C;Seagrass;Posidonia oceanica;;6.61;;39.415;;;
SA.ZN;SA.ZN-A;Seagrass;Zostera noltii;;5.83;;;;;
SA.ZN;SA.ZN-B;Seagrass;Zostera noltii;;8.7;;;;;
SA.ZN;SA.ZN-C;Seagrass;Zostera noltii;;3.3;;2.345;;;
SA.ZN;SA.ZN-D;Seagrass;Zostera noltii;;5.375;;;;;
SA.ZN;SA.ZN-E;Seagrass;Zostera noltii;;1.6385;;;;;
SA.ZN;SA.ZN-F;Seagrass;Zostera noltii;;2.99;;;;;
SA.CN;SA.CN-A;Seagrass;Cymodocea nodosa;;2.685;;1.845;;;
SA.CN;SA.CN-B;Seagrass;Cymodocea nodosa;;3.57;;4.955;;;
BA.S;BA.S-A;Seagrass;Cymodocea nodosa;;0.62;;3.12;;;
BA.S;BA.S-B;Seagrass;Cymodocea nodosa;;3.14;;;;;
BA.S;BA.S-C;Seagrass;Cymodocea nodosa;;1.4;;3.545;;;
DE.I;DE.I-A;Seagrass;Posidonia oceanica;;13.075;;;;;
DE.I;DE.I-B;Seagrass;Posidonia oceanica;;7.865;;2.715;;;
DE.I;DE.I-C;Seagrass;Posidonia oceanica;;2.39;;2.16;;;
CA.S;CA.S-A;Seagrass;Posidonia oceanica;;8.645;;88.45;;;
CA.S;CA.S-B;Seagrass;Posidonia oceanica;;19.425;;114.495;;;
ME.S;ME.S-A;Seagrass;Posidonia oceanica;;4.125;;31.8;;;
PA.I;PA.I-A;Seagrass;Cymodocea nodosa;;0.205;;0;;;
PA.I;PA.I-B;Seagrass;Cymodocea nodosa;;0.33;;0;;;
PA.I;PA.I-C;Seagrass;Cymodocea nodosa;;0.325;;0.065;;;
RO.S;RO.S-A;Seagrass;Posidonia oceanica;;37.76;;;;;
RO.S;RO.S-B;Seagrass;Posidonia oceanica;;63.715;;;;;
RO.S;RO.S-C;Seagrass;Posidonia oceanica;;56.34;;;;;
RO.I;RO.I-A;Seagrass;Posidonia oceanica;;1.645;;9.995;;;
RO.I;RO.I-B;Seagrass;Posidonia oceanica;;1.85;;10.54;;;
TE.I;TE.I-A;Seagrass;Posidonia oceanica;;7.31;;34.265;;;
TE.I;TE.I-B;Seagrass;Posidonia oceanica;;1.305;;5.865;;;
TE.I;TE.I-C;Seagrass;Posidonia oceanica;;7.14;;19.515;;;
TE.I;TE.I-A2;Seagrass;Posidonia oceanica;;5.045;;38.13;;;
TE.I;TE.I-B2;Seagrass;Posidonia oceanica;;5.955;;17.05;;;
TE.I;TE.I-C2;Seagrass;Posidonia oceanica;;6.05;;27.59;;;
TE.D;TE.D-A;Seagrass;Posidonia oceanica;;1.72;;25.205;;;
TE.D;TE.D-B;Seagrass;Posidonia oceanica;;1.65;;18.585;;;
TE.D;TE.D-C;Seagrass;Posidonia oceanica;;4.9;;43.12;;;
ODM.L;ODM.L-A;Salt Marsh;Spartina maritima;;20.845;;28.46;;;
ODM.L;ODM.L-B;Salt Marsh;Spartina maritima;;46.435;;31.12;;;
ODM.L;ODM.L-C;Salt Marsh;Spartina maritima;;22.515;;36.555;;;
ODN.DV;ODN.DV-A;Salt Marsh;Mixed Salt Marsh;;26.84;;5.49;;;
ODN.DV;ODN.DV-B;Salt Marsh;Mixed Salt Marsh;;73.3;;3.865;;;
ODN.DV;ODN.DV-C;Salt Marsh;Mixed Salt Marsh;;35.17;;5.22;;;
ODH;ODH-A;Salt Marsh;Mixed Salt Marsh;;45.73;;25.305;;;
ODH;ODH-B;Salt Marsh;Mixed Salt Marsh;;11.975;;9.215;;;
ODH;ODH-C;Salt Marsh;Mixed Salt Marsh;;20.485;;12.82;;;
ODE.M;ODE.M-A;Salt Marsh;Sarcocornia;;9.695;;3.175;;;
ODE.M;ODE.M-B;Salt Marsh;Sarcocornia;;7.14;;16.815;;;
ODE.M;ODE.M-C;Salt Marsh;Sarcocornia;;30.885;;7.99;;;
ODB.Z;ODB.Z-A;Salt Marsh;Sarcocornia;;3.31;;0.69;;;
ODB.Z;ODB.Z-B;Salt Marsh;Sarcocornia;;4.14;;0.83;;;
ODB.Z;ODB.Z-C;Salt Marsh;Sarcocornia;;7.685;;0.585;;;
ODL.R;ODL.R-A;Salt Marsh;Spartina maritima;;37.735;;1.27;;;
ODL.R;ODL.R-B;Salt Marsh;Spartina maritima;;38.89;;;;;
ODL.R;ODL.R-C;Salt Marsh;Spartina maritima;;0.445;;0.5;;;
TOR.L;TOR.L-A;Salt Marsh;Spartina maritima;;3.17;;4.26;;;
TOR.L;TOR.L-B;Salt Marsh;Spartina maritima;;10.51;;4.305;;;
TOR.L;TOR.L-C;Salt Marsh;Spartina maritima;;8.13;;9.75;;;
TOR.M;TOR.M-A;Salt Marsh;Salicornia;;30.285;;4.59;;;
TOR.M;TOR.M-B;Salt Marsh;Salicornia;;23.875;;0.895;;;
TOR.M;TOR.M-C;Salt Marsh;Salicornia;;14.3;;3.58;;;
TOR.H;TOR.H-A;Salt Marsh;Mixed Salt Marsh;;12.925;;1.565;;;
TOR.H;TOR.H-B;Salt Marsh;Mixed Salt Marsh;;22.95;;3.38;;;
S.ZN;S.ZN-A;Seagrass;Zostera noltii;;0.12;;0.228;;;
S.ZN;S.ZN-B;Seagrass;Zostera noltii;;0.052;;0.224;;;
S.ZN;S.ZN-C;Seagrass;Zostera noltii;;0.076;;0.224;;;
S.ZM;S.ZM-A;Seagrass;Zostera marina;;0.5;;0.224;;;
S.ZM;S.ZM-B;Seagrass;Zostera marina;;0.476;;0.2;;;
S.ZM;S.ZM-C;Seagrass;Zostera marina;;0.544;;0.232;;;
Arinaga;Arinaga;Seagrass;Cymodocea nodosa;;1.074626866;0.528047699;0.490878939;0.409866919;10;
Castillo del Romeral;Castillo del Romeral;Seagrass;Cymodocea nodosa;;2.352577114;0.837552966;5.395559619;2.758906303;10;
El Pajar;El Pajar;Seagrass;Cymodocea nodosa;;2.8974412;0.8527932;6.554475;2.981472;10;
Gando;Gando;Seagrass;Cymodocea nodosa;;1.533996683;0.576055975;5.02650995;1.870671933;10;
P. Cabron;P. Cabron;Seagrass;Cymodocea nodosa;;1.4578332;1.1212257;3.48685;2.636654;10;
Risco Verde;Risco Verde;Seagrass;Cymodocea nodosa;;0.56455252;0.4187552;0.355752;0.2841226;10;
Pedrena;Exp_1;Seagrass;Zostera noltii;;0.081181924;0.308596842;;;;
Pedrena;Exp_10;Seagrass;Zostera noltii;;0.120830664;0.256435382;;;;
Pedrena;Exp_9;Seagrass;Zostera noltii;;0.073644141;0.327471451;;;;
Pedrena;Exp_4;Seagrass;Zostera noltii;;0.06814156;0.284702069;;;;
Pedrena;Exp_6;Seagrass;Zostera noltii;;0.083443259;0.348923981;;;;
Pedrena;Exp_7;Seagrass;Zostera noltii;;0.054045905;0.328496589;;;;
Pedrena;Exp_8;Seagrass;Zostera noltii;;0.052387593;0.259148984;;;;
Pontejos;Pj_4;Seagrass;Zostera noltii;;0.063694268;0.062412844;;;;
Pontejos;Pj_2;Seagrass;Mixed Seagrass;;0.106207364;0.096182113;;;;
Pontejos;Pj_3;Seagrass;Mixed Seagrass;;0.087362907;0.113217503;;;;
Pontejos;Pj 1;Seagrass;Zostera noltii;;0.10010176;0.126408623;;;;
Pontejos ;Pj 5;Seagrass;Zostera noltii;;0.02404553;0.076659255;;;;
Puntal;Puntal_5;Seagrass;Zostera noltii;;0.07296574;0.250631289;;;;
Puntal;Puntal 1;Seagrass;Zostera noltii;;0.063468134;0.393924547;;;;
Puntal;Puntal 2;Seagrass;Zostera noltii;;0.10010176;0.144650058;;;;
Puntal;Puntal 4;Seagrass;Zostera noltii;;0.081935703;0.403422154;;;;
San Bartolome_20%;P_3_20%;Seagrass;Zostera noltii;;0.031734067;0.105528964;;;;
San Bartolome_20%;P_4_20%;Seagrass;Zostera noltii;;0.039497984;0.103870652;;;;
San Bartolome_20%;P_5_20%;Seagrass;Zostera noltii;;0.0465835;0.12618249;;;;
San Bartolome_20%;P2_<20%;Seagrass;Zostera noltii;;0.01613086;0.112539102;;;;
San Bartolome_20%;P1_<20%;Seagrass;Zostera noltii;;0.03768892;0.138619832;;;;
San Bartolome_80%;P_1_80%;Seagrass;Zostera noltii;;0.033090868;0.034899936;;;;
San Bartolome_80%;P_3_80%;Seagrass;Zostera noltii;;0.044096031;0.114800437;;;;
San Bartolome_80%;P_2 80%;Seagrass;Zostera noltii;;0.046885011;0.084573927;;;;
Somo;Somo_1;Seagrass;Zostera noltii;;0.018316813;0.081784947;;;;
Somo;Somo_2;Seagrass;Zostera noltii;;0.017110768;0.096935891;;;;
Somo;Somo_3;Seagrass;Zostera noltii;;0.039573361;0.073568763;;;;
Somo;Somo_4;Seagrass;Zostera noltii;;0.048392568;0.104398296;;;;
Somo;Somo_5;Seagrass;Zostera noltii;;0.039196472;0.175554969;;;;
AZ;AZ1;Seagrass;Mixed Seagrass;;0.100425;0.07;;;;
AZ;AZ2;Seagrass;Mixed Seagrass;;0.158475;0.07455;;;;
AZ;AZ3;Seagrass;Mixed Seagrass;;0.076525;0.120325;;;;
AZ;AZ4;Seagrass;Mixed Seagrass;;0.247825;0.1417;;;;
AZ;AZ5;Seagrass;Mixed Seagrass;;0.233475;0.308825;;;;
AZ;AZ6;Seagrass;Mixed Seagrass;;0.2981;0.210225;;;;
AZ;AZ7;Seagrass;Mixed Seagrass;;0.170975;0.19685;;;;
AZ;AZ8;Seagrass;Mixed Seagrass;;0.067525;0.062775;;;;
AZ;AZ9;Seagrass;Mixed Seagrass;;0.084325;0.13105;;;;
CZ;CZ1;Seagrass;Mixed Seagrass;;0.029025;0.0783;;;;
CZ;CZ2;Seagrass;Mixed Seagrass;;0.0854;0.065625;;;;
CZ;CZ3;Seagrass;Mixed Seagrass;;0.03535;0.0709;;;;
CZ;CZ4;Seagrass;Mixed Seagrass;;0.0649;0.12535;;;;
CZ;CZ5;Seagrass;Mixed Seagrass;;0.092275;0.243975;;;;
CZ;CZ6;Seagrass;Mixed Seagrass;;0.155325;0.302;;;;
CZ;CZ7;Seagrass;Mixed Seagrass;;0.078825;0.0381;;;;
CZ;CZ8;Seagrass;Mixed Seagrass;;0.043325;0.051325;;;;
CZ;CZ9;Seagrass;Mixed Seagrass;;0.0213;0.0134;;;;
BZ;BZ1;Seagrass;Zostera marina;;0.110025;0.25355;;;;
BZ;BZ2;Seagrass;Zostera marina;;0.07955;0.131975;;;;
BZ;BZ3;Seagrass;Zostera marina;;0.020675;0.100375;;;;
BZ;BZ4;Seagrass;Zostera marina;;0.127975;0.359025;;;;
BZ;BZ5;Seagrass;Zostera marina;;0.16685;0.145;;;;
BZ;BZ6;Seagrass;Zostera marina;;0.10195;0.32265;;;;
BZ;BZ7;Seagrass;Zostera marina;;0.2221;0.17035;;;;
BZ;BZ8;Seagrass;Zostera marina;;0.084325;0.18135;;;;
BZ;BZ9;Seagrass;Zostera marina;;0.0532;0.0762;;;;
EZ;EZ1;Seagrass;Zostera marina;;0.09155;0.0469;;;;
EZ;EZ2;Seagrass;Zostera marina;;0.1505;0.0276;;;;
EZ;EZ3;Seagrass;Zostera marina;;0.055025;0.030675;;;;
EZ;EZ4;Seagrass;Zostera marina;;0.23675;0.14385;;;;
EZ;EZ5;Seagrass;Zostera marina;;0.34975;0.158625;;;;
EZ;EZ6;Seagrass;Zostera marina;;0.226775;0.1773;;;;
EZ;EZ7;Seagrass;Zostera marina;;0.21465;0.044655;;;;
EZ;EZ8;Seagrass;Zostera marina;;0.035325;0.057475;;;;
EZ;EZ9;Seagrass;Zostera marina;;0.0631;0.0503;;;;
Azo;Azo1;Seagrass;Zostera noltii;;0.047825;0.0346;;;;
Azo;Azo2;Seagrass;Zostera noltii;;0.0816;0.0228;;;;
Azo;Azo3;Seagrass;Zostera noltii;;0.029325;0.03555;;;;
Azo;Azo4;Seagrass;Zostera noltii;;0.125975;0.0732;;;;
Azo;Azo5;Seagrass;Zostera noltii;;0.119275;0.0591;;;;
Azo;Azo6;Seagrass;Zostera noltii;;0.071525;0.113625;;;;
Azo;Azo7;Seagrass;Zostera noltii;;0.051375;0.086125;;;;
Azo;Azo8;Seagrass;Zostera noltii;;0.0271;0.039175;;;;
Azo;Azo9;Seagrass;Zostera noltii;;0.050675;0.079675;;;;
Czo;Czo1;Seagrass;Zostera noltii;;0.02085;0.008925;;;;
Czo;Czo2;Seagrass;Zostera noltii;;0.037275;0.01285;;;;
Czo;Czo3;Seagrass;Zostera noltii;;0.012475;0.05615;;;;
Czo;Czo4;Seagrass;Zostera noltii;;0.0132;0.1325;;;;
Czo;Czo5;Seagrass;Zostera noltii;;0.0236;0.08995;;;;
Czo;Czo6;Seagrass;Zostera noltii;;0.0237;0.0794;;;;
Czo;Czo7;Seagrass;Zostera noltii;;0.02145;0.02255;;;;
Czo;Czo8;Seagrass;Zostera noltii;;0.060475;0.095175;;;;
Czo;Czo9;Seagrass;Zostera noltii;;0.005475;0.00935;;;;
Dzo;Dzo1;Seagrass;Zostera noltii;;0.0114;0.06315;;;;
Dzo;Dzo2;Seagrass;Zostera noltii;;0.0508;0.1184;;;;
Dzo;Dzo3;Seagrass;Zostera noltii;;0.02745;0.0905;;;;
Dzo;Dzo4;Seagrass;Zostera noltii;;0.020775;0.088325;;;;
Dzo;Dzo5;Seagrass;Zostera noltii;;0.0283;0.061275;;;;
Dzo;Dzo6;Seagrass;Zostera noltii;;0.019325;0.05845;;;;
Dzo;Dzo7;Seagrass;Zostera noltii;;0.0303;0.076925;;;;
Dzo;Dzo8;Seagrass;Zostera noltii;;0.009225;0.015475;;;;
Dzo;Dzo9;Seagrass;Zostera noltii;;0.019975;0.0309;;;;
a_ramallosa_ria_de_vigo;FZ41;Seagrass;Zostera noltii;;0.0247425;;0.027995;;;
a_ramallosa_ria_de_vigo;FZ42;Seagrass;Zostera noltii;;0.02803;;0.03289;;;
a_ramallosa_ria_de_vigo;FZ43;Seagrass;Zostera noltii;;0.0215525;;0.02221;;;
a_ramallosa_ria_de_vigo;FZ71;Seagrass;Zostera noltii;;0.0066625;;0.008455;;;
a_ramallosa_ria_de_vigo;FZ72;Seagrass;Zostera noltii;;0.0112375;;0.012945;;;
a_ramallosa_ria_de_vigo;FZ73;Seagrass;Zostera noltii;;0.00796;;0.012595;;;
a_ramallosa_ria_de_vigo;MZ41;Seagrass;Zostera noltii;;0.0346025;;0.05659;;;
a_ramallosa_ria_de_vigo;MZ42;Seagrass;Zostera noltii;;0.042955;;0.03857;;;
a_ramallosa_ria_de_vigo;MZ43;Seagrass;Zostera noltii;;0.0292125;;0.054625;;;
a_ramallosa_ria_de_vigo;MZ71;Seagrass;Zostera noltii;;0.01131;;0.019875;;;
a_ramallosa_ria_de_vigo;MZ72;Seagrass;Zostera noltii;;0.0065725;;0.019035;;;
a_ramallosa_ria_de_vigo;MZ73;Seagrass;Zostera noltii;;0.010445;;0.015345;;;
a_ramallosa_ria_de_vigo;AZ41;Seagrass;Zostera noltii;;0.0683925;;;;;
a_ramallosa_ria_de_vigo;AZ42;Seagrass;Zostera noltii;;0.0211425;;0.029215;;;
a_ramallosa_ria_de_vigo;AZ43;Seagrass;Zostera noltii;;0.0121925;;0.01435;;;
a_ramallosa_ria_de_vigo;AZ71;Seagrass;Zostera noltii;;0.0166;;0.02007;;;
a_ramallosa_ria_de_vigo;AZ72;Seagrass;Zostera noltii;;0.0149825;;0.022555;;;
a_ramallosa_ria_de_vigo;AZ73;Seagrass;Zostera noltii;;0.013935;;0.0122075;;;
