Coast;Region;Total;Posidonia oceanica;Cymodocea nodosa;Zostera marina;Zostera noltei;Mixed;Low marsh;Medium marsh;High marsh;Microtidal
Cantabrico;Asturies;4.543151;;;0.08;2.19;;0.60009;0.930458;0.742603;
Cantabrico;Cantabria;29.91;;;;8.75;;18.57;1.35;1.24;
Cantabrico;Euskal Herria;2.473151;;;;0.2;;0.60009;0.930458;0.742603;
Cantabrico;Galiza;4.505224;;;0.02;0.98;;0.422756;0.899288;2.18318;
Mediterraneo;Catalunya;127.7001;22.94;28.82;;0.0001;40.6;;;;35.34
Mediterraneo;Pa¡s Valenci…;452;320.72;83.73;;1.15;;;;;46.4
Mediterraneo;Murcia;208.61;112.86;89.36;;0.22;;;;;6.17
Mediterraneo;Andalucia;126.946;69.19;53.786;;0.58;;;;;3.39
Mediterraneo;Baleares;649.6299;633.16;13.66;;0.0099;;;;;2.8
Atlantico;N Portugal;2.581;;;;;;0.318;2.156;0.107;
Atlantico;M Portugal;89.9899;;;;2.797;;;87.1929;;
Atlantico;S Portugal;58.02;;1.86;;10.44;;14.71;21.82;9.19;
Atlantico;Galiza;45.480635;;;4.59;24.54;;1.937105;10.37325;4.04028;
Atlantico;Andalucia;93.623;;12.87;9.45;0.001;;40.02;16.872;14.41;
Atlantic Insular;Canarias;80.12;;80.02;;0.1;;;;;
Atlantic Insular;Azores;0;;;;;;;;;
Atlantic Insular;Madeira;0;;;;;;;;;
