Site ID;Core ID;Ecosystem;Genus;Tidal.R;Status;Samp year;Compresion;Min.D;Max.D;Weight;DBD;OM;OC;Age;Raw.Age;Raw.Age BP;D.Method;Date Error;Bacon cc;Bacon dr;Bacon dSTD
AG.S;AG.S-A;Seagrass;Posidonia oceanica;Subtidal;Healthy;2017;13.14;0;1;13.7473;0.735291157;6.554328546;;8;5;-62;210Pb;1;0;0;0
AG.S;AG.S-A;Seagrass;Posidonia oceanica;Subtidal;Healthy;2017;13.14;1;2;18.2371;0.975433602;;;13;9.8;-57.2;210Pb;0.1;0;0;0
AG.S;AG.S-A;Seagrass;Posidonia oceanica;Subtidal;Healthy;2017;13.14;2;3;16.2629;0.8698411;7.382634131;;15;14.2;-52.8;210Pb;0.2;0;0;0
AG.S;AG.S-A;Seagrass;Posidonia oceanica;Subtidal;Healthy;2017;13.14;3;4;19.206;1.027256404;;;22;19.5;-47.5;210Pb;0.2;0;0;0
AG.S;AG.S-A;Seagrass;Posidonia oceanica;Subtidal;Healthy;2017;13.14;4;5;17.4024;0.930788652;8.026646466;;29;24.3;-42.7;210Pb;0.3;0;0;0
AG.S;AG.S-A;Seagrass;Posidonia oceanica;Subtidal;Healthy;2017;13.14;5;6;27.4766;1.469619562;;;35;31.7;-35.3;210Pb;0.4;0;0;0
AG.S;AG.S-A;Seagrass;Posidonia oceanica;Subtidal;Healthy;2017;13.14;6;7;19.6316;1.050020141;7.349943645;;38;37.2;-29.8;210Pb;0.4;0;0;0
AG.S;AG.S-A;Seagrass;Posidonia oceanica;Subtidal;Healthy;2017;13.14;7;8;13.8289;0.739655633;;;44;41;-26;210Pb;0.5;0;0;0
AG.S;AG.S-A;Seagrass;Posidonia oceanica;Subtidal;Healthy;2017;13.14;8;9;13.799;0.738056395;9.431278744;;46;44.9;-22.1;210Pb;0.5;0;0;0
AG.S;AG.S-A;Seagrass;Posidonia oceanica;Subtidal;Healthy;2017;13.14;9;10;12.6724;0.677798816;;;51;48.2;-18.8;210Pb;0.5;0;0;0
AG.S;AG.S-A;Seagrass;Posidonia oceanica;Subtidal;Healthy;2017;13.14;10;11;15.1767;0.811744365;9.262297441;;55;52.4;-14.6;210Pb;0.6;0;0;0
AG.S;AG.S-A;Seagrass;Posidonia oceanica;Subtidal;Healthy;2017;13.14;11;12;15.0859;0.806887815;;;57;56.1;-10.9;210Pb;0.6;0;0;0
AG.S;AG.S-A;Seagrass;Posidonia oceanica;Subtidal;Healthy;2017;13.14;12;13;15.4911;0.828560433;11.17908321;;66;60.4;-6.6;210Pb;0.7;0;0;0
AG.S;AG.S-A;Seagrass;Posidonia oceanica;Subtidal;Healthy;2017;13.14;13;14;24.2534;1.297222767;;;70;67.3;0.3;210Pb;0.8;0;0;0
AG.S;AG.S-A;Seagrass;Posidonia oceanica;Subtidal;Healthy;2017;13.14;14;15;30.9327;1.654473298;2.630064378;;80;76.3;9.3;210Pb;0.9;0;0;0
AG.S;AG.S-A;Seagrass;Posidonia oceanica;Subtidal;Healthy;2017;13.14;15;16;28.8465;1.542890339;;;85;84.7;17.7;210Pb;1;0;0;0
AG.S;AG.S-A;Seagrass;Posidonia oceanica;Subtidal;Healthy;2017;13.14;16;17;25.6795;1.37349947;2.711293266;;95;92;25;210Pb;1.1;0;0;0
AG.S;AG.S-A;Seagrass;Posidonia oceanica;Subtidal;Healthy;2017;13.14;17;18;22.6845;1.213308232;;;100;98.3;31.3;210Pb;1.1;0;0;0
AG.S;AG.S-A;Seagrass;Posidonia oceanica;Subtidal;Healthy;2017;13.14;18;19;17.4642;0.9340941;4.674905965;;106;103.3;36.3;210Pb;1.2;0;0;0
AG.S;AG.S-A;Seagrass;Posidonia oceanica;Subtidal;Healthy;2017;13.14;19;20;27.1856;1.454055071;;;113;111;44;210Pb;1.3;0;0;0
AG.S;AG.S-A;Seagrass;Posidonia oceanica;Subtidal;Healthy;2017;13.14;20;21;28.8772;1.544532366;4.659277396;;117;;;;;;;
AG.S;AG.S-A;Seagrass;Posidonia oceanica;Subtidal;Healthy;2017;13.14;21;22;28.6723;1.533573039;;;124;;;;;;;
AG.S;AG.S-A;Seagrass;Posidonia oceanica;Subtidal;Healthy;2017;13.14;22;23;23.7703;1.271383573;3.264754888;;129;;;;;;;
AG.S;AG.S-A;Seagrass;Posidonia oceanica;Subtidal;Healthy;2017;13.14;23;24;22.243;1.189694064;;;133;;;;;;;
AG.S;AG.S-A;Seagrass;Posidonia oceanica;Subtidal;Healthy;2017;13.14;24;25;22.51;1.203974886;4.614595129;;143;;;;;;;
AG.S;AG.S-A;Seagrass;Posidonia oceanica;Subtidal;Healthy;2017;13.14;25;26;28.968;1.549388915;;;148;;;;;;;
AG.S;AG.S-A;Seagrass;Posidonia oceanica;Subtidal;Healthy;2017;13.14;26;27;31.08195;1.662456117;1.24594054;;152;;;;;;;
AG.S;AG.S-A;Seagrass;Posidonia oceanica;Subtidal;Healthy;2017;13.14;27;28;33.1959;1.775523319;;;162;;;;;;;
AG.S;AG.S-A;Seagrass;Posidonia oceanica;Subtidal;Healthy;2017;13.14;28;29;24.7265;1.322527099;1.257167219;;167;;;;;;;
AG.S;AG.S-A;Seagrass;Posidonia oceanica;Subtidal;Healthy;2017;13.14;29;30;34.0137;1.819264352;;;171;;;;;;;
AG.S;AG.S-A;Seagrass;Posidonia oceanica;Subtidal;Healthy;2017;13.14;30;31;27.1177;1.450423357;;;181;;;;;;;
AG.S;AG.S-A;Seagrass;Posidonia oceanica;Subtidal;Healthy;2017;13.14;31;32;39.0469;2.088471211;2.443108578;;185;;;;;;;
AG.S;AG.S-A;Seagrass;Posidonia oceanica;Subtidal;Healthy;2017;13.14;32;33;32.154;1.719796023;;;190;;;;;;;
AG.S;AG.S-A;Seagrass;Posidonia oceanica;Subtidal;Healthy;2017;13.14;33;34;21.6043;1.155532413;3.524412524;;195;;;;;;;
AG.S;AG.S-A;Seagrass;Posidonia oceanica;Subtidal;Healthy;2017;13.14;34;35;25.7673;1.378195561;;;204;;;;;;;
AG.S;AG.S-A;Seagrass;Posidonia oceanica;Subtidal;Healthy;2017;13.14;35;36;22.8639;1.22290366;8.428587292;;209;;;;;;;
AG.S;AG.S-A;Seagrass;Posidonia oceanica;Subtidal;Healthy;2017;13.14;36;37;17.1185;0.915603913;;;213;;;;;;;
AG.S;AG.S-A;Seagrass;Posidonia oceanica;Subtidal;Healthy;2017;13.14;37;38;21.425;1.145942333;5.845554302;;218;;;;;;;
AG.S;AG.S-A;Seagrass;Posidonia oceanica;Subtidal;Healthy;2017;13.14;38;39;22.0513;1.179440755;;;222;;;;;;;
AG.S;AG.S-A;Seagrass;Posidonia oceanica;Subtidal;Healthy;2017;13.14;39;40;24.8158;1.327303419;4.623685198;;232;;;;;;;
AG.S;AG.S-A;Seagrass;Posidonia oceanica;Subtidal;Healthy;2017;13.14;40;41;21.7165;1.161533567;;;237;;;;;;;
AG.S;AG.S-A;Seagrass;Posidonia oceanica;Subtidal;Healthy;2017;13.14;41;42;18.77;1.003936411;6.189435932;;241;;;;;;;
AG.S;AG.S-A;Seagrass;Posidonia oceanica;Subtidal;Healthy;2017;13.14;42;43;25.0057;1.337460453;;;246;;;;;;;
AG.S;AG.S-A;Seagrass;Posidonia oceanica;Subtidal;Healthy;2017;13.14;43;44;19.7352;1.055561313;7.702115132;;251;;;;;;;
AG.S;AG.S-A;Seagrass;Posidonia oceanica;Subtidal;Healthy;2017;13.14;44;45;30.4935;1.630982149;;;255;;;;;;;
AG.S;AG.S-A;Seagrass;Posidonia oceanica;Subtidal;Healthy;2017;13.14;45;46;15.347;0.820853068;9.505632765;;265;;;;;;;
AG.S;AG.S-A;Seagrass;Posidonia oceanica;Subtidal;Healthy;2017;13.14;46;47;16.3895;0.876612456;;;270;;;;;;;
AG.S;AG.S-A;Seagrass;Posidonia oceanica;Subtidal;Healthy;2017;13.14;47;48;18.3051;0.979070665;8.156989734;;274;;;;;;;
AG.S;AG.S-A;Seagrass;Posidonia oceanica;Subtidal;Healthy;2017;13.14;48;49;18.4135;0.984868572;;;279;;;;;;;
AG.S;AG.S-A;Seagrass;Posidonia oceanica;Subtidal;Healthy;2017;13.14;49;50;21.2636;1.137309657;5.93704863;;284;;;;;;;
AG.S;AG.S-A;Seagrass;Posidonia oceanica;Subtidal;Healthy;2017;13.14;50;51;23.2653;1.24437303;;;289;;;;;;;
AG.S;AG.S-A;Seagrass;Posidonia oceanica;Subtidal;Healthy;2017;13.14;51;52;27.1831;1.453921356;3.682888112;;294;;;;;;;
AG.S;AG.S-A;Seagrass;Posidonia oceanica;Subtidal;Healthy;2017;13.14;52;53;23.9544;1.281230386;;;304;521;521;14C;30;2;2;26
AG.S;AG.S-A;Seagrass;Posidonia oceanica;Subtidal;Healthy;2017;13.14;53;54;26.0238;1.391914777;3.827932716;;309;;;;;;;
AG.S;AG.S-A;Seagrass;Posidonia oceanica;Subtidal;Healthy;2017;13.14;54;55;26.0504;1.39333751;;;314;;;;;;;
AG.S;AG.S-A;Seagrass;Posidonia oceanica;Subtidal;Healthy;2017;13.14;55;56;25.2959;1.352982155;;;322;;;;;;;
AG.S;AG.S-A;Seagrass;Posidonia oceanica;Subtidal;Healthy;2017;13.14;56;57;22.7426;1.216415781;;;330;;;;;;;
AG.S;AG.S-A;Seagrass;Posidonia oceanica;Subtidal;Healthy;2017;13.14;57;58;19.1873;1.026256212;7.738800209;;338;;;;;;;
AG.S;AG.S-A;Seagrass;Posidonia oceanica;Subtidal;Healthy;2017;13.14;58;59;16.1097;0.861647011;;;345;;;;;;;
AG.S;AG.S-A;Seagrass;Posidonia oceanica;Subtidal;Healthy;2017;13.14;59;60;19.2538;1.029813045;5.90313163;;353;;;;;;;
