Ecosystem;Tidal.R;Genus;Specie;lat;long;S.type;Biomass;Bio SE;Bio SD;Bio n;Stock;Stock SE;Stock SD;Stock n;Flux;Flux SE;Flux SD;years;Flux 100
Seagrass;;Thalassia;Thalassia testudinum;;;Persistent;;;;;;;;;;;;;0.03158096
Seagrass;;Halodule;Halodule wrightii;;;Colonising;;;;;;;;;;;;;0.01711158
Seagrass;;Syringodium;Syringodium filiforme;;;Opportunistic;;;;;;;;;;;;;0.03384924
Seagrass;;Zostera;Zostera marina;;;Opportunistic;0.079;;;;2.3;;;;;;;;
Seagrass;;Zostera;Zostera marina;;;Opportunistic;0.063;;;;2.9;;;;;;;;
Seagrass;;Zostera;Zostera marina;;;Opportunistic;0.129;;;;5.5;;;;;;;;
Seagrass;;Zostera;Zostera marina;;;Opportunistic;0.1;;;;5.4;;;;;;;;
Seagrass;;Zostera;Zostera marina;;;Opportunistic;0.11;;;;6.9;;;;;;;;
Seagrass;;Zostera;Zostera marina;;;Opportunistic;0.086;;;;9.4;;;;;;;;
Seagrass;;Zostera;Zostera marina;;;Opportunistic;0.08;;;;19.4;;;;;;;;
Seagrass;;Zostera;Zostera marina;;;Opportunistic;0.062;;;;35.1;;;;;;;;
Seagrass;;Zostera;Zostera marina;;;Opportunistic;;;;;;;;;0.009;;;114;0.009
Seagrass;;Zostera;Zostera marina;;;Opportunistic;;;;;;;;;0.009;;;90;0.009
Seagrass;;Zostera;Zostera marina;;;Opportunistic;;;;;;;;;0.009;;;94;0.009
Seagrass;;Zostera;Zostera marina;;;Opportunistic;;;;;;;;;0.011;;;94;0.011
Seagrass;;Zostera;Zostera marina;;;Opportunistic;;;;;;;;;0.015;;;124;0.015
Seagrass;;Zostera;Zostera marina;;;Opportunistic;;;;;;;;;0.022;;;113;0.022
Seagrass;;Zostera;Zostera marina;;;Opportunistic;0.185;;;;5.37;;;;;;;;
Seagrass;;Zostera;Zostera marina;;;Opportunistic;0.0877;;;;12.48;;;;0.058;;;23.25;
Seagrass;;Zostera;Zostera marina;;;Opportunistic;0.1978;;;;9.3;;;;0.032;;;18.9;
Seagrass;;Zostera;Zostera marina;;;Opportunistic;0.0812;;;;4.9;;;;;;;;
Seagrass;;Zostera;Zostera marina;;;Opportunistic;0.1607;;;;5.84;;;;;;;;
Seagrass;;Zostera;Zostera marina;;;Opportunistic;0.146;;;;6.1;;;;;;;;
Seagrass;;Zostera;Zostera marina;;;Opportunistic;0.1256;;;;8.16;;;;0.048;;;29.6;
Seagrass;;Zostera;Zostera japonica;;;Opportunistic;0.038;;;;5.8;;;;;;;;
Seagrass;;Zostera;Zostera caulescens;;;Opportunistic;0.17;;;;7.8;;;;;;;;
Seagrass;;Zostera;Zostera marina;;;Opportunistic;;;;;7.56;;;;;;;;
Seagrass;;Zostera;Zostera marina;;;Opportunistic;;;;;9.38;;;;;;;;
Seagrass;;Zostera;Zostera marina;;;Opportunistic;;;;;6.89;;;;;;;;0.003038338
Seagrass;;Zostera;Zostera marina;;;Opportunistic;;;;;7.54;;;;;;;;0.006200503
Seagrass;;Zostera;Zostera marina;;;Opportunistic;;;;;8.24;;;;;;;;0.009343488
Seagrass;;Zostera;Zostera japonica;;;Opportunistic;;;;;5.34;;;;;;;;
Seagrass;;Cymodocea;Cymodocea serrulata;;;Opportunistic;;;;;11.97;;;;;;;;
Seagrass;;Thalassia;Thalassia hemprichii;;;Persistent;;;;;5.43;;;;;;;;
Seagrass;;Enhalus;Enhalus acoroides;;;Persistent;;;;;4.9;;;;;;;;0.005077248
Seagrass;;Enhalus;Enhalus acoroides;;;Persistent;;;;;7.22;;;;;;;;
Seagrass;;Enhalus;Enhalus acoroides;;;Persistent;;;;;3.75;;;;;;;;0.002834122
Seagrass;;Enhalus;Enhalus acoroides;;;Persistent;;;;;8.68;;;;;;;;
Seagrass;;Zostera;Zostera marina;;;Opportunistic;;;;;;;;;0.0013;;;115;
Seagrass;;Zostera;Zostera marina;;;Opportunistic;;;;;;;;;0.01053;;;115;
Seagrass;;Zostera;Zostera marina;;;Opportunistic;;;;;;;;;0.0036;;;115;
Seagrass;;Zostera;Zostera marina;;;Opportunistic;;;;;7.3;;;;;;;;
Seagrass;;Zostera;Zostera marina;;;Opportunistic;;;;;8.1;;;;0.058;;;79;
Seagrass;;Zostera;Zostera marina;;;Opportunistic;;;;;10.7;;;;0.058;;;109;
Seagrass;;Zostera;Zostera japonica;;;Opportunistic;0.02;;;;;;;;;;;;
Seagrass;;Thalassia;Thalassia hemprichii;;;Persistent;0.01;;;;;;;;;;;;
Seagrass;;Halophila;Halophila beccarii;;;Colonising;0.0068;;;;;;;;;;;;
Seagrass;;Halophila;Halophila beccarii;;;Colonising;0.005;;;;;;;;;;;;
Seagrass;;Halophila;Halophila beccarii;;;Colonising;0.0109;;;;;;;;;;;;
Seagrass;;Halophila;Halophila ovalis;;;Colonising;0.0159;;;;;;;;;;;;
Seagrass;;Halophila;Halophila ovalis;;;Colonising;0.0172;;;;;;;;;;;;
Seagrass;;Halophila;Halophila ovalis;;;Colonising;0.0149;;;;;;;;;;;;
Seagrass;;Halophila;Halophila ovalis;;;Colonising;0.0035;;;;;;;;;;;;
Seagrass;;Halodule;Halodule uninervis;;;Colonising;0.005;;;;;;;;;;;;
Seagrass;;Halodule;Halodule pinifolia;;;Colonising;0.01;;;;;;;;;;;;
Seagrass;;Ruppia;Ruppia brevipedunculata;;;Colonising;0.015;;;;;;;;;;;;
Seagrass;;Cymodocea;Cymodocea spp.;;;Opportunistic;0.053448;;;;;;;;;;;;
Seagrass;;Cymodocea;Cymodocea spp.;;;Opportunistic;0.040208;;;;;;;;;;;;
Seagrass;;Cymodocea;Cymodocea spp.;;;Opportunistic;0.0328454;;;;;;;;;;;;
Seagrass;;Cymodocea;Cymodocea spp.;;;Opportunistic;0.12668;;;;;;;;;;;;
Seagrass;;Cymodocea;Cymodocea spp.;;;Opportunistic;0.0211599;;;;;;;;;;;;
